name,type,sub_type,bottle_size,cost,abv,brand,distributor,pack_size,pack_cost
Nicolas Catena Zapata,Wine,Other,750,42.86,12,Nicolas Catena Zapata,Breakthru Beverage,12,514.28
WYCLIFF BRUT CALIFORNIA CHAMPAGNE,Wine,Sparkling,750,4.90,12,WYCLIFF BRUT CALIFORNIA,Breakthru Beverage,1,
Rombauer Carneros Chardonnay,Wine,White,750,29.50,12,Rombauer,Breakthru Beverage,12,354.00
Old Forester Classic 86 Proof,Spirit,Whiskey,750,17.00,43,Old Forester,Breakthru Beverage,1,
WOODFORD RESERVE KENTUCKY STRAIGHT BOURBON WHISKEY,Spirit,Whiskey,1000,37.00,40,Woodford Reserve,Breakthru Beverage,6,222.02
WOODFORD RESERVE KENTUCKY STRAIGHT BOURBON WHISKEY,Spirit,Whiskey,750,37.00,40,Woodford Reserve,Breakthru Beverage,1,
E&J BRANDY VS,Spirit,Brandy,750,10.00,40,E&J,Breakthru Beverage,1,
JACK DANIELS OLD #7 TENNESSEE WHISKEY,Spirit,Whiskey,750,22.99,40,JACK DANIELS,Breakthru Beverage,1,
Jack Daniel's Old No. 7 Tennessee Whiskey,Spirit,Whiskey,750,22.99,40,Jack Daniel's,Breakthru Beverage,1,
Llord's Creme De Cacao White,Spirit,Liqueur,750,7.00,40,Llord's,Breakthru Beverage,1,
Llord's Creme De Cacao Dark,Spirit,Liqueur,750,7.00,40,Llord's,Breakthru Beverage,1,
L'Ecole No. 41 Walla Walla Valley Cabernet Sauvignon,Wine,Red,750,34.25,12,L'Ecole No. 41,Breakthru Beverage,12,411.00
Don Julio 1942,Spirit,Tequila,750,124.99,40,Don Julio,Breakthru Beverage,1,
Captain Morgan Original Spiced Rum,Spirit,Rum,750,19.50,40,Captain Morgan,Breakthru Beverage,1,
Baileys Original Irish Cream,Spirit,Liqueur,750,31.49,40,Baileys,Breakthru Beverage,1,
Lagavulin 16 Year Old,Spirit,Whiskey,750,74.06,40,Lagavulin,Breakthru Beverage,1,
LAGAVULIN SCOTCH SINGLE MALT 16YR 750ML,Spirit,Whiskey,750,76.01,40,Lagavulin,Breakthru Beverage,1,
Oban 14 Year Single Malt,Spirit,Whiskey,750,89.62,40,Oban,Breakthru Beverage,1,
Johnnie Walker Black Label,Spirit,Whiskey,750,40.49,40,Johnnie Walker,Breakthru Beverage,1,
TANQUERAY LONDON DRY GIN,Spirit,Gin,750,25.00,40,Tanqueray,Breakthru Beverage,1,
Pimm's No. 1 Liqueur,Spirit,Liqueur,750,26.99,40,Pimm's,Breakthru Beverage,1,
Bushmills Original Irish Whiskey,Spirit,Whiskey,750,25.18,40,Bushmills,Breakthru Beverage,1,
BULLEIT BOURBON,Spirit,Whiskey,750,29.99,40,Bulleit,Breakthru Beverage,1,
Hendrick's Gin,Spirit,Gin,750,27.99,40,Hendrick's,Breakthru Beverage,1,
HENNESSY VS COGNAC,Spirit,Cognac,750,52.30,40,Hennessy,Breakthru Beverage,1,
Hennessy VSOP Privilege,Spirit,Cognac,750,82.99,40,Hennessy,Breakthru Beverage,1,
Hennessy X.O Cognac,Spirit,Cognac,750,199.99,40,Hennessy,Breakthru Beverage,1,
KETEL ONE,Spirit,Vodka,750,23.99,40,Ketel One,Breakthru Beverage,1,
RED BULL SUGARFREE,Non-Alc,Mixer,250,1.70,,Red Bull,Breakthru Beverage,24,40.75
RED BULL,Non-Alc,Mixer,250,1.70,,Red Bull,Breakthru Beverage,24,40.75
Ruinart Bl De Bl,Wine,Sparkling,750,35.49,12,Ruinart,Breakthru Beverage,12,425.88
Crown Royal Canadian Whisky,Spirit,Whiskey,750,32.75,40,Crown Royal,Breakthru Beverage,1,
TITOS HANDMADE VODKA,Spirit,Vodka,750,19.99,40,TITOS HANDMADE,Breakthru Beverage,12,239.93
Banfi Tuscany Chianti Classico Riserva,Wine,Red,750,168.05,12,Banfi,Breakthru Beverage,1,168.05
Conti Sertoli Salis Canua Sforzato di Valtellina,Wine,Red,750,49.99,12,Conti Sertoli Salis,Breakthru Beverage,6,299.96
